               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.013645,            0.004844,           0.0053411,             0.09379,             0.24607,             0.10048,            0.069853,            0.021204,            0.010878,            0.074327,           0.0030888,           0.0030888,           0.0030888
                  36,            0.011965,           0.0047923,           0.0048436,             0.20685,             0.28073,            0.098168,            0.064169,            0.023474,            0.010942,             0.07151,            0.002855,            0.002855,            0.002855
                  37,            0.011299,           0.0047975,           0.0051828,            0.091177,              0.2982,             0.10225,            0.071937,            0.021902,            0.010345,            0.071813,           0.0026316,           0.0026316,           0.0026316
                  38,            0.010777,           0.0043847,           0.0045648,              0.4304,             0.20405,             0.10544,            0.076475,            0.020813,            0.010175,            0.072959,           0.0024195,           0.0024195,           0.0024195
                  39,            0.011694,           0.0043415,           0.0041215,             0.20381,             0.21296,             0.11006,            0.067379,            0.022585,            0.011191,            0.071643,           0.0022196,           0.0022196,           0.0022196
                  40,            0.011134,           0.0044544,           0.0050762,            0.088328,             0.29488,             0.11469,            0.077241,             0.02107,             0.01089,            0.071046,           0.0020327,           0.0020327,           0.0020327
                  41,              0.0103,           0.0046056,           0.0057144,            0.086516,             0.29457,              0.1121,            0.076016,            0.021071,            0.010261,            0.071526,           0.0018594,           0.0018594,           0.0018594
                  42,            0.010309,            0.004308,           0.0044162,             0.43063,             0.25273,             0.11104,            0.078463,            0.019669,            0.010533,              0.0717,           0.0017005,           0.0017005,           0.0017005
                  43,           0.0095204,           0.0041476,           0.0031671,             0.31614,             0.25543,             0.11241,            0.078974,            0.020281,            0.010865,            0.071573,           0.0015566,           0.0015566,           0.0015566
                  44,            0.010146,           0.0043264,            0.003994,             0.42745,             0.25835,             0.11212,             0.07953,            0.019905,             0.01035,            0.072356,           0.0014283,           0.0014283,           0.0014283
                  45,           0.0095105,           0.0043356,           0.0038335,             0.42906,             0.24881,             0.11493,            0.085147,            0.019699,            0.010419,            0.072601,            0.001316,            0.001316,            0.001316
                  46,            0.009575,           0.0044657,           0.0042105,             0.43319,             0.24877,              0.1154,            0.084316,            0.019398,            0.010367,             0.07246,           0.0012202,           0.0012202,           0.0012202
                  47,           0.0090245,           0.0042514,           0.0040191,             0.54918,             0.24268,              0.1156,            0.083704,            0.020066,             0.01018,            0.073263,           0.0011414,           0.0011414,           0.0011414
                  48,           0.0092709,           0.0042117,           0.0046127,             0.08261,             0.33875,             0.11722,               0.085,            0.019964,            0.010216,            0.072688,           0.0010797,           0.0010797,           0.0010797
                  49,           0.0095475,           0.0045265,           0.0045445,             0.42917,             0.25362,             0.11902,            0.087225,            0.020326,            0.009654,            0.072642,           0.0010355,           0.0010355,           0.0010355
