               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058663,            0.015802,            0.041436,             0.54507,             0.16664,            0.094039,            0.031623,            0.047269,            0.012158,            0.031365,           0.0033323,           0.0033323,            0.070009
                   1,            0.041913,            0.010358,             0.02018,             0.65796,             0.25393,             0.13758,            0.037568,            0.051448,           0.0091194,            0.013235,           0.0066642,           0.0066642,            0.040008
                   2,            0.039875,           0.0084627,             0.01169,             0.69204,             0.28809,             0.20507,            0.093177,            0.038261,           0.0077095,           0.0091841,           0.0099901,           0.0099901,                0.01
